template,POS,defn
abandon,verb-transitive,To withdraw ones support or help from especially in spite of duty allegiance or responsibility desert  abandon a friend in trouble 
abandon,verb-transitive,To give up by leaving or ceasing to operate or inhabit especially as a result of danger or other impending threat  abandoned the ship 
abandon,verb-transitive,To surrender ones claim to right to or interest in give up entirely See Synonyms at relinquish
abandon,verb-transitive,To cease trying to continue desist from  abandoned the search for the missing hiker 
abandon,verb-transitive,To yield oneself completely as to emotion
abandon,verb,To surrender to the insurer the insured item so as to claim a total loss
abandon,verb-transitive,To cast or drive out to banish to expel to reject
abandon,verb-transitive,To give up absolutely to forsake entirely  to renounce utterly to relinquish all connection with or concern on to desert as a person to whom one owes allegiance or fidelity to quit to surrender
abandon,verb-transitive,To relinquish all claim to  used when an insured person gives up to underwriters all claim to the property covered by a policy which may remain after loss or damage by a peril insured against
abandon,verb,leave someone who needs or counts on you leave in the lurch
abandon,verb,stop maintaining or insisting on of ideas or claims
abandon,verb,give up with the intent of never claiming again
abandon,verb,leave behind empty move out of
accelerate,verb-transitive,To increase the speed of
accelerate,verb-transitive,To cause to occur sooner than expected
accelerate,verb-transitive,To cause to develop or progress more quickly  a substance used to accelerate a fire 
accelerate,verb-transitive,To reduce the time required for an academic course for example compress into a shorter period
accelerate,verb-transitive,To make it possible for a student to finish an academic course faster than usual
accelerate,verb-intransitive,To move or act faster See Synonyms at speed
accelerate,verb-intransitive,To engage in an academic program that progresses faster than usual
accelerate,verb,To cause to move faster to quicken the motion of to add to the speed of
accelerate,verb,To quicken the natural or ordinary progression or process of
accelerate,verb,To cause a change of velocity
accelerate,verb,To hasten as the occurrence of an event
accelerate,verb,To enable a student to finish a course of study in less than normal time
accelerate,verb,To become faster to begin to move more quickly
accelerate,verb,Alternative form of accelerated
accelerate,verb-transitive,To cause to move faster to quicken the motion of to add to the speed of  opposed to antretardant
accelerate,verb-transitive,To quicken the natural or ordinary progression or process of
accelerate,verb-transitive,To hasten as the occurence of an event
accelerate,verb,cause to move faster
accelerate,verb,move faster
accompany,verb-transitive,To be or go with as a companion
accompany,verb-transitive,To add to supplement  a dish best accompanied with a robust wine 
accompany,verb-transitive,To coexist or occur with
accompany,verb,To go with or attend as a companion or associate to keep company with to go along with
accompany,verb,To supplement with add to
accompany,verb,To perform an accompanying part or parts in a composition
accompany,verb,To perform an accompanying part next to another instrument
accompany,verb,To associate in a company to keep company
accompany,verb,To cohabit with
accompany,verb,To cohabit with to coexist with occur with
accompany,verb-intransitive,To associate in a company to keep company
accompany,verb-intransitive,To cohabit with
accompany,verb-intransitive,To perform an accompanying part or parts in a composition
accompany,verb-transitive,To go with or attend as a companion or associate to keep company with to go along with  followed by with or by
accompany,verb-transitive,To cohabit with
accompany,verb,go or travel along with
accompany,verb,be present or associated with an event or entity
accompany,verb,perform an accompaniment to
accompany,verb,be a companion to somebody
act,verb-transitive,To play the part of assume the dramatic role of  She plans to act Lady Macbeth in summer stock 
act,verb-transitive,To perform a role on the stage  act the part of the villain 
act,verb-transitive,To behave like or pose as impersonate  Dont act the fool 
act,verb-transitive,To behave in a manner suitable for  Act your age 
act,verb-intransitive,To behave or comport oneself  She acts like a born leader 
act,verb-intransitive,To perform in a dramatic role or roles
act,verb-intransitive,To be suitable for theatrical performance  This scene acts well 
act,verb-intransitive,To behave affectedly or unnaturally pretend
act,verb-intransitive,To appear or seem to be  The dog acted ferocious 
act,verb-intransitive,To carry out an action  We acted immediately The governor has not yet acted on the bill 
act,verb-intransitive,To operate or function in a specific way  His mind acts quickly 
act,verb-intransitive,To serve or function as a substitute for another  A coin can act as a screwdriver 
act,verb-intransitive,To produce an effect  waited five minutes for the anesthetic to act 
act,verb,To do something
act,verb,To perform a theatrical role
act,verb,To behave in a certain way
act,verb,To convey an appearance of being
act,verb,To have an effect on
act,verb,To play a role
act,verb,To feign
act,verb,To map via a homomorphism to a group of automorphisms of
act,verb-intransitive,To exert power to produce an effect
act,verb-intransitive,To perform actions to fulfill functions to put forth energy to move as opposed to remaining at rest to carry into effect a determination of the will
act,verb-intransitive,To behave or conduct as in morals private duties or public offices to bear or deport ones self
act,verb-intransitive,To perform on the stage to represent a character
act,verb-transitive,To move to action to actuate to animate
act,verb-transitive,To perform to execute to do
act,verb-transitive,To perform as an actor to represent dramatically on the stage
act,verb-transitive,To assume the office or character of to play to personate
act,verb-transitive,To feign or counterfeit to simulate
act,verb,perform on a stage or theater
act,verb,have an effect or outcome often the one desired or expected
act,verb,be engaged in an activity often for no particular purpose other than pleasure
act,verb,pretend to have certain qualities or state of mind
act,verb,be suitable for theatrical performance
act,verb,behave in a certain manner show a certain behavior conduct or comport oneself
act,verb,play a role or part
act,verb,behave unnaturally or affectedly
act,verb,perform an action or work out or perform an action
act,verb,discharge ones duties
adjust,verb-transitive,To change so as to match or fit cause to correspond
adjust,verb-transitive,To bring into proper relationship
adjust,verb-transitive,To adapt or conform as to new conditions unable to adjust themselves to their environment   Karl A Menninger  See Synonyms at adapt
adjust,verb-transitive,To bring the components of into a more effective or efficient calibration or state  adjust the timing of a cars engine 
adjust,verb-transitive,In chiropracty to manipulate the spine and other body structures to treat disorders and restore normal function of the nervous system
adjust,verb-transitive,To decide how much is to be paid on an insurance claim
adjust,verb-intransitive,To adapt oneself conform
adjust,verb-intransitive,To achieve a psychological balance with regard to ones external environment ones needs and the demands of others
adjust,verb,To modify
adjust,verb,To improve or rectify
adjust,verb,To settle an insurance claim
adjust,verb,To change to fit circumstances
adjust,verb-transitive,To make exact to fit to make correspondent or conformable to bring into proper relations
adjust,verb-transitive,To put in order to regulate or reduce to system
